2015-10-26 14:32:18;start command sent;69668132
2015-10-26 14:34:19;start command sent;69668132
2015-10-26 14:37:11;start command sent;69668132
2015-10-26 14:38:22;crediti sent;69668132
2015-10-26 14:39:30;start command sent;69668132
2015-10-26 14:46:58;start command sent;122694817
2015-10-26 14:47:03;start command sent;122694817
2015-10-26 14:58:51;start command sent;69668132
2015-10-26 14:59:43;start command sent;69668132
2015-10-26 14:59:52;start command sent;69668132
2015-10-26 15:00:08;start command sent;69668132
2015-10-26 15:00:17;start command sent;69668132
2015-10-26 15:07:18;start command sent;130671588
2015-10-26 16:57:48;start command sent;69668132
2015-10-26 17:05:10;start command sent;69668132
2015-10-26 17:05:57;start command sent;69668132
2015-10-26 17:06:29;start command sent;69668132
2015-10-26 17:07:42;start command sent;69668132
2015-10-26 18:50:58;stazioneinfo sent;69668132
2015-10-26 18:51:22;start command sent;69668132
2015-10-26 18:52:55;start command sent;69668132
2015-10-26 18:53:13;start command sent;69668132
2015-10-26 18:53:35;start command sent;69668132
2015-10-26 18:54:19;start command sent;69668132
2015-10-26 18:59:08;start command sent;69668132
2015-10-26 18:59:44;start command sent;69668132
2015-10-26 19:00:23;start command sent;26391099
2015-10-26 19:01:10;start command sent;69668132
2015-10-26 19:02:02;stazioneinfo sent;26391099
2015-10-26 19:02:03;crediti sent;26391099
2015-10-26 19:02:03;stazioneinfo sent;26391099
2015-10-26 19:02:30;start command sent;139745781
2015-10-26 19:02:45;start command sent;139745781
2015-10-26 19:03:00;stazioneinfo sent;139745781
2015-10-26 19:03:42;start command sent;139745781
2015-10-26 19:05:14;start command sent;26391099
2015-10-26 19:05:43;start command sent;26391099
2015-10-26 19:11:49;crediti sent;69668132
2015-10-26 19:11:59;start command sent;69668132
2015-10-26 19:35:29;start command sent;69668132
2015-10-26 19:35:42;start command sent;69668132
2015-10-26 19:36:02;start command sent;69668132
2015-10-26 19:36:15;start command sent;69668132
2015-10-26 19:37:54;start command sent;69668132
2015-10-26 19:38:07;start command sent;69668132
2015-10-26 19:39:03;start command sent;69668132
2015-10-26 19:42:14;start command sent;69668132
2015-10-26 19:44:13;start command sent;69668132
2015-10-26 19:47:40;start command sent;69668132
2015-10-26 19:47:54;start command sent;69668132
2015-10-26 19:54:46;start command sent;90020201
2015-10-26 19:54:52;stazioneinfo sent;90020201
2015-10-26 20:01:38;stazioneinfo sent;90020201
2015-10-26 20:01:42;stazioneinfo sent;90020201
2015-10-26 20:02:21;stazioneinfo sent;90020201
2015-10-26 20:02:23;start command sent;90020201
2015-10-26 20:02:36;start command sent;90020201
2015-10-26 20:02:43;start command sent;90020201
2015-10-26 20:03:11;start command sent;90020201
